S/N,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
1662,China,2015,Phishing,Retail,"14,720,000.00","914,743.00",Insider,Social Engineering,AI-based Detection,69
1663,Germany,2022,Malware,Banking,"59,700,000.00","258,587.00",Insider,Social Engineering,VPN,7
1664,Brazil,2020,Man in the Middle,Retail,"16,260,000.00","527,964.00",Insider,Zero-day,Firewall,28
1665,Brazil,2015,Phishing,Banking,"29,610,000.00","593,384.00",Unknown,Zero-day,Firewall,65
1666,UK,2023,Malware,IT,"82,380,000.00","386,972.00",Insider,Unpatched Software,AI-based Detection,56
1667,China,2017,DDoS,Healthcare,"96,490,000.00","644,339.00",Insider,Unpatched Software,Antivirus,71
1668,Brazil,2024,DDoS,Healthcare,"76,390,000.00","782,425.00",Insider,Weak Passwords,Encryption,13
1669,Russia,2024,SQL Injection,Banking,"79,980,000.00","84,185.00",Nation-state,Weak Passwords,VPN,2
1670,UK,2022,Malware,Healthcare,"91,650,000.00","337,120.00",Insider,Weak Passwords,Firewall,59
1671,UK,2020,Phishing,Banking,"3,840,000.00","241,282.00",Hacker Group,Social Engineering,Encryption,55
1672,China,2023,DDoS,Healthcare,"97,150,000.00","734,819.00",Unknown,Unpatched Software,AI-based Detection,50
1673,Australia,2024,DDoS,Healthcare,"77,040,000.00","8,517.00",Hacker Group,Weak Passwords,Encryption,4
1674,UK,2018,Man in the Middle,Government,"91,520,000.00","865,257.00",Nation-state,Social Engineering,VPN,19
1675,Germany,2023,SQL Injection,Education,"37,400,000.00","662,428.00",Insider,Weak Passwords,AI-based Detection,4
1676,China,2020,Malware,Healthcare,"11,890,000.00","646,567.00",Insider,Unpatched Software,VPN,15
1677,USA,2019,DDoS,Communications,"43,290,000.00","266,748.00",Unknown,Unpatched Software,Antivirus,30
1678,USA,2022,Ransomware,Retail,"92,880,000.00","771,367.00",Hacker Group,Social Engineering,Firewall,5
1679,USA,2020,DDoS,Banking,"99,810,000.00","948,174.00",Unknown,Social Engineering,AI-based Detection,4
1680,Brazil,2017,DDoS,Healthcare,"62,740,000.00","460,264.00",Unknown,Social Engineering,Firewall,9
1681,USA,2017,DDoS,Government,"96,890,000.00","794,147.00",Unknown,Unpatched Software,Antivirus,4
1682,France,2015,SQL Injection,IT,"43,860,000.00","72,222.00",Unknown,Weak Passwords,Firewall,64
1683,France,2020,DDoS,Communications,"66,270,000.00","995,231.00",Nation-state,Weak Passwords,Firewall,53
1684,Japan,2021,Malware,Retail,"90,800,000.00","841,766.00",Nation-state,Social Engineering,AI-based Detection,16
1685,Russia,2015,Man in the Middle,IT,"95,040,000.00","566,542.00",Unknown,Weak Passwords,Firewall,58
1686,UK,2022,Malware,Healthcare,"12,670,000.00","781,284.00",Hacker Group,Weak Passwords,Firewall,11
1687,UK,2021,Phishing,IT,"89,590,000.00","361,270.00",Nation-state,Weak Passwords,VPN,31
1688,India,2022,Malware,Communications,"97,030,000.00","404,834.00",Hacker Group,Zero-day,VPN,62
1689,China,2023,DDoS,Government,"53,460,000.00","374,484.00",Unknown,Unpatched Software,Antivirus,46
1690,Australia,2020,SQL Injection,IT,"21,020,000.00","681,476.00",Unknown,Weak Passwords,VPN,6
1691,India,2019,SQL Injection,Retail,"15,390,000.00","514,826.00",Hacker Group,Unpatched Software,Firewall,72
1692,Japan,2022,Malware,Education,"97,320,000.00","742,866.00",Nation-state,Social Engineering,Encryption,61
1693,UK,2016,Ransomware,Healthcare,"61,660,000.00","639,896.00",Hacker Group,Social Engineering,VPN,63
1694,Australia,2022,SQL Injection,IT,"15,290,000.00","42,346.00",Hacker Group,Unpatched Software,VPN,33
1695,Japan,2019,Malware,Communications,"5,880,000.00","235,399.00",Unknown,Social Engineering,Antivirus,21
1696,USA,2015,Man in the Middle,Retail,"24,930,000.00","448,426.00",Nation-state,Weak Passwords,VPN,36
1697,France,2020,Ransomware,Retail,"97,370,000.00","467,137.00",Nation-state,Social Engineering,Encryption,14
1698,Japan,2017,SQL Injection,Education,"11,490,000.00","364,107.00",Hacker Group,Social Engineering,AI-based Detection,28
1699,India,2022,Man in the Middle,Government,"4,050,000.00","357,898.00",Hacker Group,Social Engineering,Firewall,27
1700,China,2016,DDoS,Banking,"76,900,000.00","605,118.00",Insider,Social Engineering,Firewall,30
1701,Russia,2022,Man in the Middle,Education,"96,440,000.00","106,169.00",Nation-state,Unpatched Software,Encryption,28
1702,France,2016,Ransomware,Healthcare,"34,290,000.00","157,547.00",Insider,Unpatched Software,AI-based Detection,29
1703,Brazil,2022,SQL Injection,Healthcare,"56,630,000.00","242,677.00",Insider,Social Engineering,Encryption,21
1704,China,2016,SQL Injection,Banking,"63,670,000.00","385,872.00",Insider,Zero-day,Firewall,50
1705,Germany,2018,DDoS,Retail,"80,850,000.00","148,209.00",Insider,Weak Passwords,Antivirus,54
1706,Japan,2022,DDoS,Healthcare,"9,500,000.00","387,457.00",Nation-state,Weak Passwords,VPN,61
1707,Russia,2023,Malware,IT,"47,220,000.00","404,004.00",Nation-state,Social Engineering,Encryption,58
1708,UK,2018,Ransomware,Retail,"28,980,000.00","981,029.00",Nation-state,Weak Passwords,Antivirus,42
1709,France,2017,Malware,Communications,"96,630,000.00","389,525.00",Unknown,Zero-day,Antivirus,32
1710,India,2019,SQL Injection,IT,"43,970,000.00","764,974.00",Nation-state,Weak Passwords,VPN,18
1711,India,2017,Man in the Middle,Healthcare,"91,400,000.00","621,971.00",Nation-state,Weak Passwords,AI-based Detection,49
1712,Brazil,2024,SQL Injection,IT,"53,710,000.00","680,584.00",Insider,Zero-day,AI-based Detection,5
1713,China,2018,SQL Injection,Education,"15,360,000.00","907,858.00",Nation-state,Social Engineering,Encryption,47
1714,Russia,2021,SQL Injection,Banking,"80,680,000.00","983,047.00",Hacker Group,Unpatched Software,Antivirus,19
1715,France,2015,Malware,Government,"17,300,000.00","610,049.00",Hacker Group,Social Engineering,AI-based Detection,37
1716,India,2021,SQL Injection,IT,"52,160,000.00","100,105.00",Unknown,Zero-day,Firewall,56
1717,USA,2023,SQL Injection,Government,"89,460,000.00","59,398.00",Hacker Group,Zero-day,Antivirus,8
1718,USA,2023,Malware,Banking,"35,910,000.00","91,974.00",Hacker Group,Zero-day,AI-based Detection,41
1719,Brazil,2019,Ransomware,Healthcare,"9,320,000.00","785,564.00",Insider,Unpatched Software,Antivirus,70
1720,China,2023,Phishing,Banking,"15,210,000.00","597,516.00",Nation-state,Unpatched Software,Antivirus,15
1721,UK,2019,Ransomware,IT,"17,980,000.00","799,372.00",Hacker Group,Zero-day,AI-based Detection,14
1722,France,2018,SQL Injection,Banking,"32,840,000.00","77,096.00",Unknown,Weak Passwords,VPN,29
1723,Brazil,2023,Man in the Middle,Retail,"59,180,000.00","610,786.00",Nation-state,Social Engineering,AI-based Detection,31
1724,Japan,2021,SQL Injection,Communications,"28,330,000.00","667,271.00",Insider,Weak Passwords,Firewall,22
1725,China,2023,Phishing,Banking,"33,270,000.00","133,315.00",Nation-state,Weak Passwords,AI-based Detection,25
1726,Brazil,2019,SQL Injection,Government,"24,930,000.00","381,105.00",Unknown,Weak Passwords,Encryption,3
1727,UK,2020,Ransomware,Banking,"98,070,000.00","795,120.00",Unknown,Social Engineering,Firewall,42
1728,Russia,2017,SQL Injection,Healthcare,"67,130,000.00","198,285.00",Nation-state,Unpatched Software,Encryption,56
1729,India,2023,DDoS,Government,"34,460,000.00","580,270.00",Unknown,Unpatched Software,Firewall,35
1730,UK,2018,Ransomware,Retail,"45,670,000.00","277,410.00",Hacker Group,Social Engineering,Firewall,42
1731,Australia,2022,Man in the Middle,Government,"38,290,000.00","793,946.00",Nation-state,Weak Passwords,Firewall,12
1732,Australia,2019,Ransomware,Banking,"15,210,000.00","126,770.00",Insider,Weak Passwords,Encryption,67
1733,Australia,2016,Phishing,IT,"55,180,000.00","66,776.00",Unknown,Zero-day,Encryption,29
1734,China,2018,DDoS,Communications,"83,500,000.00","434,797.00",Insider,Social Engineering,Antivirus,21
1735,France,2024,SQL Injection,Retail,"3,070,000.00","901,137.00",Nation-state,Zero-day,Antivirus,10
1736,Australia,2020,Man in the Middle,Banking,"34,590,000.00","427,407.00",Unknown,Unpatched Software,Encryption,47
1737,USA,2021,Phishing,Banking,"28,750,000.00","959,107.00",Unknown,Zero-day,Antivirus,35
1738,Russia,2017,Man in the Middle,IT,"55,230,000.00","12,439.00",Nation-state,Weak Passwords,Firewall,20
1739,Germany,2021,Man in the Middle,Banking,"14,450,000.00","292,854.00",Nation-state,Unpatched Software,AI-based Detection,14
1740,USA,2023,Malware,Banking,"66,060,000.00","189,116.00",Insider,Social Engineering,AI-based Detection,53
1741,USA,2017,Phishing,Communications,"19,600,000.00","889,404.00",Unknown,Weak Passwords,Firewall,60
1742,USA,2017,Man in the Middle,Retail,"58,980,000.00","566,242.00",Nation-state,Social Engineering,VPN,63
1743,Brazil,2015,SQL Injection,IT,"86,670,000.00","694,491.00",Unknown,Unpatched Software,Firewall,65
1744,Australia,2015,DDoS,Education,"51,540,000.00","297,721.00",Nation-state,Weak Passwords,Antivirus,29
1745,China,2024,SQL Injection,Education,"13,610,000.00","394,335.00",Unknown,Zero-day,Encryption,43
1746,Japan,2016,Man in the Middle,IT,"57,140,000.00","590,262.00",Insider,Unpatched Software,Antivirus,15
1747,Germany,2015,DDoS,IT,"91,790,000.00","846,200.00",Unknown,Social Engineering,AI-based Detection,26
1748,Japan,2017,Phishing,Communications,"89,850,000.00","44,385.00",Hacker Group,Weak Passwords,AI-based Detection,18
1749,UK,2021,Phishing,Banking,"44,700,000.00","408,446.00",Insider,Social Engineering,VPN,43
1750,UK,2023,DDoS,Education,"54,000,000.00","806,965.00",Insider,Social Engineering,AI-based Detection,56
1751,Russia,2018,Ransomware,Education,"79,930,000.00","587,346.00",Hacker Group,Social Engineering,Antivirus,39
1752,Japan,2015,Phishing,Education,"2,430,000.00","552,342.00",Unknown,Zero-day,VPN,62
1753,France,2019,DDoS,Education,"66,650,000.00","47,104.00",Insider,Social Engineering,VPN,5
1754,USA,2016,DDoS,Retail,"13,830,000.00","586,557.00",Hacker Group,Social Engineering,AI-based Detection,37
1755,Russia,2017,Malware,Government,"2,650,000.00","500,857.00",Hacker Group,Zero-day,VPN,35
1756,USA,2022,Man in the Middle,Banking,"65,510,000.00","977,913.00",Hacker Group,Weak Passwords,Antivirus,70
1757,France,2021,Malware,Communications,"68,640,000.00","894,858.00",Hacker Group,Social Engineering,Firewall,19
1758,UK,2018,Man in the Middle,IT,"75,810,000.00","574,089.00",Unknown,Unpatched Software,Firewall,32
1759,USA,2015,DDoS,Healthcare,"62,990,000.00","232,622.00",Nation-state,Weak Passwords,Antivirus,33
1760,India,2015,Malware,Retail,"89,950,000.00","917,351.00",Unknown,Zero-day,Encryption,43
1761,Australia,2024,SQL Injection,IT,"98,310,000.00","694,333.00",Insider,Unpatched Software,VPN,48
1762,India,2017,Ransomware,Government,"38,870,000.00","968,822.00",Nation-state,Weak Passwords,Antivirus,25
1763,Brazil,2015,DDoS,Banking,"18,870,000.00","976,838.00",Unknown,Weak Passwords,Firewall,65
1764,Australia,2019,DDoS,Education,"54,630,000.00","22,739.00",Insider,Unpatched Software,Firewall,44
1765,UK,2015,Man in the Middle,Retail,"7,920,000.00","657,442.00",Nation-state,Social Engineering,Firewall,29
1766,Brazil,2018,Phishing,Education,"57,590,000.00","257,681.00",Nation-state,Zero-day,Antivirus,40
1767,Japan,2021,Man in the Middle,Retail,"9,970,000.00","536,471.00",Hacker Group,Weak Passwords,Encryption,72
1768,France,2015,Ransomware,IT,"84,020,000.00","824,619.00",Unknown,Social Engineering,Firewall,21
1769,Russia,2016,SQL Injection,Government,"77,940,000.00","538,804.00",Hacker Group,Weak Passwords,VPN,43
1770,Japan,2023,Phishing,Healthcare,"49,320,000.00","463,704.00",Hacker Group,Weak Passwords,Firewall,14
1771,China,2021,Man in the Middle,Communications,"66,610,000.00","596,341.00",Insider,Weak Passwords,AI-based Detection,9
1772,Brazil,2020,Malware,Retail,"89,710,000.00","529,588.00",Nation-state,Weak Passwords,AI-based Detection,65
1773,Germany,2018,Man in the Middle,Retail,"43,280,000.00","22,241.00",Hacker Group,Zero-day,Firewall,5
1774,Brazil,2020,Phishing,Banking,"21,650,000.00","434,936.00",Hacker Group,Zero-day,Encryption,24
1775,Japan,2019,Malware,IT,"33,610,000.00","52,191.00",Nation-state,Weak Passwords,Antivirus,72
1776,Australia,2015,Malware,Banking,"8,240,000.00","242,247.00",Insider,Social Engineering,Antivirus,29
1777,Brazil,2020,Phishing,Banking,"34,500,000.00","372,427.00",Insider,Weak Passwords,VPN,72
1778,Brazil,2021,Ransomware,Healthcare,"67,250,000.00","796,351.00",Nation-state,Weak Passwords,AI-based Detection,21
1779,Japan,2020,SQL Injection,Communications,"38,290,000.00","505,831.00",Hacker Group,Social Engineering,Encryption,40
1780,Germany,2020,Malware,Government,"32,590,000.00","743,344.00",Insider,Zero-day,VPN,4
1781,China,2017,Phishing,Healthcare,"70,400,000.00","651,809.00",Unknown,Unpatched Software,Firewall,17
1782,Brazil,2023,SQL Injection,Communications,"31,540,000.00","839,281.00",Insider,Weak Passwords,Encryption,25
1783,Brazil,2018,SQL Injection,Retail,"84,790,000.00","99,876.00",Insider,Unpatched Software,Firewall,56
1784,UK,2016,SQL Injection,Communications,"98,390,000.00","836,521.00",Insider,Weak Passwords,Firewall,19
1785,Japan,2022,SQL Injection,Retail,"43,730,000.00","392,831.00",Nation-state,Weak Passwords,AI-based Detection,71
1786,China,2015,Ransomware,Government,"86,880,000.00","99,312.00",Unknown,Zero-day,AI-based Detection,60
1787,Japan,2017,Malware,Education,"26,240,000.00","945,147.00",Insider,Zero-day,AI-based Detection,20
1788,USA,2018,DDoS,IT,"26,290,000.00","943,039.00",Insider,Zero-day,Firewall,28
1789,Brazil,2016,Malware,Retail,"76,810,000.00","670,642.00",Unknown,Unpatched Software,AI-based Detection,10
1790,USA,2016,Malware,Banking,"36,200,000.00","194,553.00",Hacker Group,Social Engineering,AI-based Detection,48
1791,China,2022,Ransomware,Education,"49,560,000.00","257,224.00",Hacker Group,Social Engineering,Firewall,46
1792,India,2019,DDoS,Banking,"58,960,000.00","891,815.00",Unknown,Weak Passwords,Antivirus,19
1793,China,2020,Ransomware,Banking,"98,050,000.00","168,617.00",Hacker Group,Unpatched Software,VPN,16
1794,UK,2016,Ransomware,Government,"83,670,000.00","701,152.00",Nation-state,Social Engineering,Firewall,53
1795,USA,2023,SQL Injection,Banking,"30,660,000.00","749,609.00",Nation-state,Zero-day,AI-based Detection,28
1796,UK,2024,Man in the Middle,Government,"86,740,000.00","658,712.00",Hacker Group,Unpatched Software,VPN,25
1797,China,2022,DDoS,Retail,"77,740,000.00","642,501.00",Hacker Group,Zero-day,AI-based Detection,19
1798,Australia,2017,Malware,Banking,"92,650,000.00","817,255.00",Hacker Group,Weak Passwords,Antivirus,62
1799,China,2021,Ransomware,Government,"5,960,000.00","92,237.00",Nation-state,Weak Passwords,AI-based Detection,47
1800,Australia,2023,Man in the Middle,Communications,"66,910,000.00","156,195.00",Nation-state,Unpatched Software,Firewall,58
1801,India,2016,Man in the Middle,IT,"23,380,000.00","618,125.00",Nation-state,Zero-day,VPN,16
1802,Australia,2021,Man in the Middle,Banking,"82,040,000.00","828,293.00",Insider,Weak Passwords,Antivirus,64
1803,Brazil,2017,Malware,Communications,"6,090,000.00","436,100.00",Unknown,Zero-day,Encryption,12
1804,USA,2020,DDoS,Retail,"14,120,000.00","787,194.00",Unknown,Zero-day,VPN,51
1805,France,2021,Phishing,Retail,"31,520,000.00","380,086.00",Nation-state,Social Engineering,Encryption,65
1806,India,2024,Malware,Healthcare,"13,740,000.00","330,581.00",Unknown,Zero-day,AI-based Detection,54
1807,Australia,2017,SQL Injection,IT,"99,990,000.00","672,966.00",Hacker Group,Zero-day,Firewall,13
1808,India,2022,Malware,Communications,"19,560,000.00","772,330.00",Hacker Group,Unpatched Software,Encryption,20
1809,Japan,2018,Man in the Middle,Communications,"81,610,000.00","255,844.00",Insider,Unpatched Software,Encryption,8
1810,Germany,2017,Ransomware,Government,"80,700,000.00","107,009.00",Nation-state,Social Engineering,Encryption,67
1811,Japan,2020,SQL Injection,Retail,"10,410,000.00","872,095.00",Nation-state,Unpatched Software,Firewall,44
1812,France,2015,DDoS,Banking,"85,360,000.00","50,427.00",Hacker Group,Zero-day,Encryption,5
1813,USA,2017,Phishing,Retail,"15,240,000.00","599,197.00",Unknown,Zero-day,AI-based Detection,8
1814,Brazil,2022,Malware,Communications,"40,080,000.00","459,643.00",Nation-state,Weak Passwords,Antivirus,10
1815,China,2021,DDoS,Communications,"10,200,000.00","950,257.00",Nation-state,Weak Passwords,AI-based Detection,61
1816,Australia,2022,Phishing,Healthcare,"72,530,000.00","496,317.00",Hacker Group,Weak Passwords,Antivirus,62
1817,Brazil,2017,Man in the Middle,Healthcare,"96,360,000.00","596,078.00",Hacker Group,Weak Passwords,Encryption,10
1818,Brazil,2019,Ransomware,Banking,"88,630,000.00","701,522.00",Insider,Social Engineering,VPN,10
1819,India,2015,Man in the Middle,Healthcare,"37,150,000.00","357,124.00",Nation-state,Weak Passwords,Antivirus,31
1820,Germany,2022,SQL Injection,Government,"47,920,000.00","112,688.00",Nation-state,Social Engineering,VPN,15
1821,India,2018,Phishing,Retail,"14,460,000.00","743,107.00",Hacker Group,Social Engineering,VPN,49
1822,India,2022,Man in the Middle,Banking,"32,470,000.00","947,465.00",Unknown,Unpatched Software,AI-based Detection,69
1823,Japan,2019,Ransomware,Government,"81,970,000.00","358,572.00",Hacker Group,Weak Passwords,VPN,48
1824,India,2024,Malware,IT,"92,080,000.00","430,701.00",Hacker Group,Unpatched Software,VPN,54
1825,Russia,2021,DDoS,Banking,"94,480,000.00","281,900.00",Hacker Group,Zero-day,Antivirus,1
1826,Australia,2021,Malware,IT,"84,740,000.00","391,257.00",Hacker Group,Zero-day,AI-based Detection,66
1827,China,2019,Man in the Middle,Banking,"81,800,000.00","277,875.00",Nation-state,Social Engineering,Antivirus,43
1828,Japan,2015,DDoS,IT,"33,270,000.00","207,244.00",Hacker Group,Zero-day,Antivirus,38
1829,India,2018,Malware,Healthcare,"66,960,000.00","294,133.00",Insider,Social Engineering,VPN,20
1830,Brazil,2023,Ransomware,Communications,"71,400,000.00","66,852.00",Hacker Group,Weak Passwords,VPN,58
1831,China,2024,Ransomware,Communications,"67,470,000.00","54,722.00",Nation-state,Social Engineering,Encryption,13
1832,Australia,2022,Phishing,Education,"17,320,000.00","178,951.00",Nation-state,Weak Passwords,Antivirus,26
1833,USA,2020,Ransomware,Healthcare,"17,240,000.00","682,791.00",Insider,Social Engineering,Encryption,44
1834,Russia,2016,SQL Injection,Education,"17,050,000.00","888,205.00",Nation-state,Weak Passwords,AI-based Detection,38
1835,France,2022,Phishing,IT,"52,190,000.00","794,901.00",Insider,Zero-day,VPN,26
1836,France,2018,DDoS,Government,"27,440,000.00","978,683.00",Insider,Zero-day,VPN,35
1837,Australia,2015,Phishing,Communications,"73,770,000.00","639,279.00",Nation-state,Zero-day,VPN,44
1838,UK,2020,Malware,Retail,"10,940,000.00","675,338.00",Hacker Group,Weak Passwords,VPN,54
1839,Australia,2021,Man in the Middle,Government,"42,240,000.00","147,589.00",Insider,Unpatched Software,Antivirus,31
1840,Australia,2017,DDoS,Government,"82,390,000.00","646,824.00",Hacker Group,Zero-day,AI-based Detection,2
1841,China,2016,Phishing,Government,"37,620,000.00","465,317.00",Insider,Social Engineering,Firewall,20
1842,USA,2023,Malware,IT,"21,530,000.00","233,379.00",Unknown,Unpatched Software,Antivirus,50
1843,China,2023,Malware,IT,"43,510,000.00","684,108.00",Unknown,Weak Passwords,Firewall,24
1844,Russia,2020,DDoS,Healthcare,"44,320,000.00","130,510.00",Unknown,Social Engineering,AI-based Detection,66
1845,Brazil,2016,Man in the Middle,Banking,"43,450,000.00","489,853.00",Nation-state,Zero-day,AI-based Detection,28
1846,Australia,2022,Malware,Healthcare,"47,920,000.00","25,905.00",Nation-state,Unpatched Software,VPN,40
1847,Japan,2023,Malware,IT,"73,740,000.00","795,367.00",Hacker Group,Zero-day,AI-based Detection,55
1848,Australia,2023,Man in the Middle,Retail,"93,250,000.00","349,335.00",Nation-state,Zero-day,Firewall,27
1849,USA,2015,Ransomware,Government,"13,920,000.00","366,147.00",Hacker Group,Weak Passwords,VPN,38
1850,India,2018,Phishing,Government,"41,100,000.00","25,094.00",Nation-state,Unpatched Software,VPN,42
1851,Russia,2024,Phishing,Retail,"44,080,000.00","988,889.00",Nation-state,Unpatched Software,Encryption,31
1852,Japan,2022,Man in the Middle,IT,"65,190,000.00","216,303.00",Hacker Group,Unpatched Software,AI-based Detection,49
1853,Australia,2023,Ransomware,Healthcare,"21,540,000.00","388,211.00",Nation-state,Weak Passwords,Antivirus,22
1854,USA,2022,Man in the Middle,Education,"83,610,000.00","30,235.00",Insider,Weak Passwords,Encryption,47
1855,USA,2023,Malware,Banking,"13,990,000.00","109,083.00",Nation-state,Weak Passwords,Antivirus,49
1856,Germany,2017,Malware,Healthcare,"49,090,000.00","397,361.00",Hacker Group,Weak Passwords,Encryption,57
1857,UK,2016,Ransomware,Retail,"32,160,000.00","329,026.00",Nation-state,Weak Passwords,VPN,31
1858,Australia,2017,Man in the Middle,IT,"45,500,000.00","889,521.00",Nation-state,Weak Passwords,Encryption,51
1859,USA,2018,SQL Injection,Healthcare,"73,160,000.00","849,755.00",Insider,Weak Passwords,Encryption,46
1860,China,2021,Phishing,Education,"70,200,000.00","631,101.00",Unknown,Zero-day,Firewall,36
1861,Japan,2016,DDoS,Healthcare,"10,620,000.00","625,954.00",Insider,Weak Passwords,AI-based Detection,71
1862,Japan,2023,Man in the Middle,IT,"26,650,000.00","220,769.00",Unknown,Zero-day,VPN,71
1863,China,2018,SQL Injection,Healthcare,"52,010,000.00","527,443.00",Hacker Group,Unpatched Software,Firewall,24
1864,Germany,2020,DDoS,Government,"32,710,000.00","846,169.00",Hacker Group,Zero-day,VPN,59
1865,China,2017,Malware,Education,"47,460,000.00","783,239.00",Unknown,Social Engineering,VPN,41
1866,China,2022,Malware,Communications,"11,390,000.00","104,772.00",Unknown,Social Engineering,Firewall,43
1867,Germany,2015,DDoS,Communications,"31,680,000.00","33,098.00",Hacker Group,Zero-day,AI-based Detection,8
1868,UK,2024,Man in the Middle,Healthcare,"65,780,000.00","512,847.00",Insider,Social Engineering,Encryption,72
1869,Australia,2018,SQL Injection,Banking,"71,010,000.00","840,106.00",Insider,Weak Passwords,VPN,44
1870,Brazil,2024,SQL Injection,Healthcare,"69,570,000.00","269,458.00",Insider,Zero-day,Firewall,15
1871,Germany,2021,Ransomware,Healthcare,"66,840,000.00","242,893.00",Nation-state,Zero-day,Antivirus,50
1872,Russia,2018,Phishing,Education,"5,250,000.00","605,947.00",Insider,Zero-day,Firewall,13
1873,Japan,2018,SQL Injection,Education,"60,570,000.00","468,399.00",Nation-state,Zero-day,VPN,56
1874,India,2015,Ransomware,IT,"61,680,000.00","503,774.00",Hacker Group,Zero-day,Firewall,37
1875,France,2021,Phishing,Retail,"45,740,000.00","754,278.00",Insider,Social Engineering,Firewall,46
1876,Japan,2019,SQL Injection,IT,"89,810,000.00","126,120.00",Unknown,Social Engineering,Encryption,39
1877,UK,2018,Malware,IT,"73,270,000.00","210,024.00",Hacker Group,Weak Passwords,Antivirus,20
1878,France,2022,DDoS,Banking,"51,330,000.00","970,775.00",Insider,Unpatched Software,AI-based Detection,21
1879,France,2017,Ransomware,Education,"19,840,000.00","832,471.00",Insider,Social Engineering,Firewall,54
1880,India,2024,Phishing,IT,"97,250,000.00","165,316.00",Unknown,Zero-day,Encryption,61
1881,Australia,2016,DDoS,Retail,"2,960,000.00","990,886.00",Insider,Weak Passwords,AI-based Detection,59
1882,UK,2021,Malware,Communications,"82,280,000.00","370,146.00",Nation-state,Zero-day,VPN,55
1883,China,2021,Man in the Middle,Retail,"49,590,000.00","284,823.00",Unknown,Social Engineering,Antivirus,50
1884,UK,2016,Malware,Healthcare,"65,140,000.00","742,857.00",Nation-state,Weak Passwords,Antivirus,49
1885,Brazil,2024,DDoS,Healthcare,"70,000,000.00","484,101.00",Hacker Group,Unpatched Software,VPN,9
1886,UK,2015,Ransomware,Communications,"22,580,000.00","368,441.00",Hacker Group,Weak Passwords,AI-based Detection,71
1887,Russia,2019,Malware,Banking,"55,420,000.00","945,465.00",Unknown,Weak Passwords,Firewall,5
1888,USA,2016,DDoS,Healthcare,"27,080,000.00","551,900.00",Unknown,Social Engineering,VPN,17
1889,UK,2021,Malware,Banking,"73,020,000.00","731,722.00",Hacker Group,Weak Passwords,VPN,28
1890,Germany,2018,Phishing,Banking,"88,730,000.00","436,597.00",Insider,Unpatched Software,AI-based Detection,33
1891,France,2020,DDoS,Education,"16,350,000.00","728,830.00",Insider,Zero-day,AI-based Detection,45
1892,USA,2022,Ransomware,IT,"85,610,000.00","826,018.00",Hacker Group,Weak Passwords,Firewall,24
1893,Russia,2020,Ransomware,Communications,"76,610,000.00","791,323.00",Insider,Unpatched Software,Encryption,40
1894,USA,2015,SQL Injection,Banking,"42,770,000.00","117,454.00",Insider,Unpatched Software,Firewall,19
1895,Japan,2023,Ransomware,Retail,"95,300,000.00","986,882.00",Hacker Group,Weak Passwords,Encryption,45
1896,France,2016,Phishing,IT,"78,120,000.00","770,227.00",Unknown,Zero-day,Antivirus,20
1897,China,2024,SQL Injection,Government,"21,330,000.00","997,411.00",Nation-state,Social Engineering,Antivirus,25
1898,Japan,2020,Malware,Education,"66,930,000.00","640,603.00",Hacker Group,Unpatched Software,VPN,23
1899,Brazil,2024,Phishing,Communications,"81,540,000.00","499,671.00",Hacker Group,Weak Passwords,VPN,4
1900,India,2020,Phishing,Retail,"12,640,000.00","805,905.00",Nation-state,Social Engineering,Firewall,54
1901,France,2017,Phishing,Retail,"43,200,000.00","377,252.00",Nation-state,Unpatched Software,Encryption,8
1902,USA,2018,Ransomware,Retail,"20,580,000.00","653,168.00",Unknown,Weak Passwords,AI-based Detection,3
1903,Brazil,2017,Phishing,IT,"26,620,000.00","955,790.00",Nation-state,Zero-day,Encryption,44
1904,USA,2018,Phishing,Communications,"15,560,000.00","734,448.00",Unknown,Social Engineering,Encryption,37
1905,China,2021,Ransomware,Retail,"12,970,000.00","425,647.00",Unknown,Zero-day,Antivirus,4
1906,France,2019,SQL Injection,Banking,"98,040,000.00","278,315.00",Unknown,Unpatched Software,VPN,3
1907,UK,2020,Man in the Middle,Communications,"63,350,000.00","294,447.00",Unknown,Zero-day,AI-based Detection,54
1908,Brazil,2020,DDoS,Education,"26,570,000.00","384,988.00",Insider,Zero-day,AI-based Detection,19
1909,Japan,2020,Man in the Middle,Education,"29,580,000.00","141,411.00",Insider,Unpatched Software,AI-based Detection,58
1910,France,2023,Phishing,Healthcare,"72,540,000.00","581,712.00",Insider,Social Engineering,VPN,12
1911,UK,2020,Ransomware,Education,"35,160,000.00","100,749.00",Unknown,Zero-day,Firewall,62
1912,Russia,2019,Malware,Education,"56,940,000.00","217,880.00",Nation-state,Unpatched Software,VPN,48
1913,France,2023,Man in the Middle,Communications,"99,710,000.00","357,542.00",Hacker Group,Zero-day,Antivirus,21
1914,UK,2021,Malware,Communications,"77,180,000.00","347,426.00",Hacker Group,Zero-day,Antivirus,36
1915,France,2018,Man in the Middle,Education,"36,920,000.00","829,140.00",Nation-state,Unpatched Software,Encryption,2
1916,France,2017,SQL Injection,Healthcare,"42,800,000.00","683,189.00",Unknown,Zero-day,VPN,19
